iteration          avg Insert time(s)          avg Search time(s)     
353                     1.36e-07                         4.1e-08
354                     1.4e-07                         4.4e-08
355                     8.6e-08                         3.7e-08
356                     1.4e-07                         4.3e-08
357                     1.39e-07                         7.8e-08
358                     1.37e-07                         3.7e-08
359                     8.7e-08                         5.1e-08
360                     1.33e-07                         4.2e-08
361                     1.58e-07                         4.2e-08
362                     1.34e-07                         4.3e-08
363                     1.33e-07                         3.8e-08
364                     9.1e-08                         4.3e-08
365                     1.36e-07                         4.4e-08
366                     1.31e-07                         3.9e-08
367                     1.35e-07                         3.5e-08
368                     8.4e-08                         4.8e-08
369                     1.37e-07                         4.3e-08
370                     1.34e-07                         3.8e-08
371                     1.39e-07                         4e-08
372                     1.56e-07                         3.7e-08
373                     8.9e-08                         3.7e-08
374                     1.37e-07                         3.7e-08
375                     1.39e-07                         7.1e-08
376                     1.36e-07                         4e-08
377                     8.6e-08                         5.3e-08
378                     2.66e-07                         4e-08
379                     1.42e-07                         4.1e-08
380                     1.37e-07                         3.7e-08
381                     1.41e-07                         6.7e-08
382                     9e-08                         3.8e-08
383                     1.44e-07                         3.8e-08
384                     1.42e-07                         4e-08
385                     1.41e-07                         3.9e-08
386                     1.39e-07                         3.9e-08
387                     9.1e-08                         3.4e-08
388                     1.51e-07                         4.6e-08
389                     1.39e-07                         3.6e-08
390                     1.37e-07                         3.9e-08
391                     9.7e-08                         4e-08
392                     1.44e-07                         3.6e-08
393                     1.36e-07                         3.4e-08
394                     1.43e-07                         3.6e-08
395                     1.38e-07                         3.5e-08
396                     8.9e-08                         3.6e-08
397                     1.42e-07                         3.9e-08
398                     1.47e-07                         4e-08
399                     1.47e-07                         3.9e-08
400                     9.5e-08                         3.9e-08
